,Condition,Drugs
2506,Growth Failure,[Somatotropin]
2507,Felty's Syndrome,[Sodium aurothiomalate]
2508,Myofascial Pain Syndrome,[Nortriptyline]
2509,Acute Exacerbations of Chronic Bronchitis caused by Haemophilus Influenza,[Cefaclor]
2510,Undescended Testis,[Chorionic Gonadotropin (Human)]
2511,Pediatric Crohn's Disease,[Adalimumab]
2512,Autonomy of thyroid gland,[Liothyronine]
2513,Radiohumeral bursitis,[Tolmetin]
2514,Chronic Angina,[Ranolazine]
2515,Entamoebic histolytica infection,[Tetracycline]
2516,Tendonitis exacerbated,[Sulindac]
2517,Locally advanced gastroesphageal juntion adenocarcinoma,[Pembrolizumab]
2518,Tachyarrhythmia caused by Digitalis intoxication,[Propranolol]
2519,Non-24-Hour Sleep-Wake Disorder,[Tasimelteon]
2520,Acute Lupus Erythematosus,[Bupivacaine]
2521,Peritoneal dialysis therapy,[Fluorescein]
2522,"Parkinson's Disease, Idiopathic",[Ropinirole]
2523,"Genital herpes, initial episode",[Valaciclovir]
2524,Internal contamination caused by radioactive or non-radioactive thallium,[Prussian blue]
2525,Recurrent platinum drug resistant primary peritoneal cancer,[Bevacizumab]
2526,Xerostomia,[Amifostine]
2527,Hypomagnesaemia,[Magnesium sulfate]
2528,Yellow Fever,[Yellow Fever Vaccine]
2529,Upper respiratory tract signs and symptoms,[Hydrocodone]
2530,Metastatic lung origin Progressive Neuroendocrine Tumors,[Everolimus]
2531,Pituitary Neoplasms,[L-Arginine]
2532,Burkitt's Lymphoma,[Cyclophosphamide]
2533,Neutropenia aggravated,[Filgrastim]
2534,Advanced Systemic light chain amyloidosis,[Thalidomide]
2535,Chronic Anal Fissures,[Nitroglycerin]
2536,Severe Histoplasmosis,[Amphotericin B]
2537,Postpartum urinary retention,[Bethanechol]
2538,Fredrickson Type III lipidemia,[Atorvastatin]
2539,Osteolytic lesion,[Pamidronic acid]
2540,Mumps,[Rubella virus vaccine]
2541,Maxillary Sinusitis,[Cefuroxime]
2542,Allergic urticaria,[Promethazine]
2543,Genital Ulcer Disease (GUD),[Azithromycin]
2544,Skin Structures and Soft Tissue Infections caused by susceptible streptococci,[Procaine benzylpenicillin]
2545,Irritation lips,[Phenol]
2546,Refractory postpartum uterine hemorrhage,[Carboprost tromethamine]
2547,Cutaneous larva migrans,[Ivermectin]
2548,Infection caused by eikenella corrodens,[Ampicillin]
2549,Malignant mast cell neoplasm,[Midostaurin]
2550,Hereditary antithrombin III deficiency,[Antithrombin III human]
2551,Asymptomatic Neisseria meningitidis carrier of the nasopharynx,[Rifampicin]
2552,Infantile-onset Hypophosphatasia,[Asfotase alfa]
2553,Mild to moderate pain,[Diclofenac]
2554,Venous Leg Ulcer (VLU),[Pentoxifylline]
2555,Capillariasis,[Mebendazole]
2556,Bradycardia,[Atropine]
2557,Atypical Hemolytic Uremic Syndrome (aHUS),[Eculizumab]
2558,Death by myocardial infarction,[Acetylsalicylic acidCommonly known or available as Aspirin]
2559,Mild bacterial upper respiratory tract infections,[Phenoxymethylpenicillin]
2560,Crab lice,[Lindane]
2561,Biliary Colic,[Hyoscyamine]
2562,Locally advanced Medullary thyroid cancer,[Vandetanib]
2563,Keratinization disorders,[Acitretin]
2564,Severe Diarrhea,[Sodium bicarbonate]
2565,Nephrotoxicity,[Amifostine]
2566,Transitional Cell Carcinoma of the Urothelial Tract,[Vinflunine]
2567,Escherichia infections,[Tetracycline]
2568,Lichenification,[Bendazac]
2569,Ophthalmia neonatorum (gonococcal),[Erythromycin]
2570,Idiopathic Bronchiolitis obliterans with organizing pneumonia,[Prednisolone]
2571,"Necrosis caused by Administration site extravasation, Norepinephrine",[Phentolamine]
2572,Cirrhosis of the Liver,[Hydrochlorothiazide]
2573,Active Pauciarticular juvenile rheumatoid arthritis,[Methotrexate]
2574,House Dust Mite Allergy,[Dermatophagoides farinae]
2575,Acute Bacterial Skin and Skin Structure Infections caused by Enterobacter cloaecae,[Delafloxacin]
2576,Locally advanced disease has progressed during or following platinum-containing chemotherapy urothelial carcinoma (UC),[Avelumab]
2577,"Chronic, refractory Gout",[Pegloticase]
2578,"Depression, Bipolar",[Fluoxetine]
2579,"Oesophagitis, Eosinophilic",[Budesonide]
2580,Herpes Simplex Virus,[Cidofovir]
2581,Post-operative intestinal atony,[Neostigmine]
2582,Trematode infections,[Praziquantel]
2583,Dravet Syndrome,[Stiripentol]
2584,Temporal Lobe Epilepsy,[Primidone]
2585,Revascularization process,[Atorvastatin]
2586,External Genital Warts,[Podofilox]
2587,Corneal Ulcers caused by pseudomonas aeruginosa,[Ciprofloxacin]
2588,"Acute Conjunctivitis caused by Staphylococcus epidermidis, Streptococcus Pneumoniae, Streptococcus viridans, Haemophilus Influenzae, Pseudomonas Aeruginosa, Staphylococcus Aureus",[Trimethoprim]
2589,Necatoriasis due to necator americanus,[Mebendazole]
2590,"Chronic, uncomplicated Idiopathic urticaria",[Fexofenadine]
2591,Uterine Leiomyomas,[Leuprolide]
2592,Anorexic,[Megestrol acetate]
2593,Locally advanced disease has progressed within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy urothelial carcinoma (UC),[Avelumab]
2594,Intestinal amebiasis caused by entamoeba histolytica,[Erythromycin]
2595,Allergic Skin Reaction,[Diphenylpyraline]
2596,Oral Ulcers,[Apremilast]
2597,Mild Onychomycosis,[Ciclopirox]
2598,Severe Hyperactivity,[Haloperidol]
2599,Kraurosis Vulvae caused by Menopause,[Conjugated estrogens]
2600,Still's Disease,[Tetracosactide]
2601,WHO functional class II-III Pulmonary arterial hypertension,[Treprostinil]
2602,Atrial Fibrillation and Flutter,[Quinidine]
2603,Internal contamination with radioactive cesium,[Prussian blue]
2604,"Lymphoma, Lymphoblastic",[Mercaptopurine]
2605,Mucopolysaccharidosis VI,[Galsulfase]
2606,Invasive Breast Carcinoma,[Tamoxifen]
2607,Refractory Graft versus host disease,[Thalidomide]
2608,B-large cell anaplastic Lymphoma (Kiel Classification) refractory,[Brentuximab vedotin]
2609,Chronic Eczema of the hand,[Alitretinoin]
2610,NYHA class IV Pulmonary arterial hypertension,[Iloprost]
2611,Fungal Keratitis,[Natamycin]
2612,Fulminating Tuberculosis,[Prednisone]
2613,Metastatic refractory to radioactive iodine treatment Thyroid carcinoma,[Sorafenib]
2614,Dientamoeba fragilis infection,[Paromomycin]
2615,Anaerobic Infection,[Metronidazole]
2616,Homocystinuria,[Glycine betaine]
2617,Hyperkeratotic actinic keratosis,[Fluorouracil]
2618,Refractory Takayasu arteritis,[Methotrexate]
2619,Severe axillary hyperhidrosis,[Botulinum toxin type A]
2620,Chronic heavy menstrual bleeding,[Tranexamic acid]
2621,Supraventricular tachyarrhythmias,[Atenolol]
2622,Merkel cell cancer,[Etoposide]
2623,"Refractory, blast phase Chronic myelogenous leukemia",[Bosutinib]
2624,Moderate Streptococcal pharyngitis,[Cefuroxime]
2625,Ocular Rosacea,[Ciclosporin]
2626,Photophobia,[Diclofenac]
2627,Refractory Sarcoma,[Etoposide]
2628,Pleural space infections,[Caspofungin]
2629,Bleeding caused by Factor X Deficiency,[Coagulation factor X human]
2630,Orthostatic Intolerance,[Fludrocortisone]
2631,"Acute Bacterial Exacerbation of Chronic Bronchitis caused by Haemophilus Influenzae, Streptococcus Pneumoniae",[Trimethoprim]
2632,Metastatic Adenocarcinoma of the Stomach,[Trastuzumab]
2633,Adenocarcinoma of the Pancreas,[Mitomycin]
2634,"Detrusor overactivity, neurologic conditions",[Botulinum toxin type A]
2635,Disseminated mycobacterium avium complex infection,[Streptomycin]
2636,Diaper rashj,[Triamcinolone]
2637,Deep Vein Thrombosis caused by Thoracic Surgery,[Danaparoid]
2638,Glycemic Control,[Glyburide]
2639,Refractory peritoneal cancer,[Capecitabine]
2640,"Sarcoma, Bone",[Doxorubicin]
2641,Ependymomas,[Carmustine]
2642,Acute Genital herpes,[Acyclovir]
2643,Altered osteogenic activity,[Fluoride ion F-18]
2644,Anesthetic complication pulmonary,[Doxapram]
2645,Stage T2b carcinoma of the prostate,[Goserelin]
2646,Cutaneous Abscess,[Tazobactam]
2647,Acute massive pulmonary embolism,[Alteplase]
2648,"Gingivitis, Necrotizing Ulcerative",[Phenoxymethylpenicillin]
2649,Hunt and Hess Grades I-V Subarachnoid hemorrhage,[Nimodipine]
2650,Acute Rheumatic Fever,[Tetracosactide]
2651,Perioperative Hypertension,[Nitroglycerin]
2652,Microscopic Polyangiitis,[Rituximab]
2653,Gigantism,[L-Arginine]
2654,Advanced Ovarian Carcinoma,[Carboplatin]
2655,Acne NOS,[Pidolic Acid]
2656,Fungal blepharitis,[Natamycin]
2657,Secondary prevention Myocardial infarction,[Atenolol]
2658,Pruritus Vulvae,[Clioquinol]
2659,Marfan Syndrome,[Losartan]
2660,Severe hypersensitivity,[Epinephrine]
2661,Metastatic Solid Tumors,[Pembrolizumab]
2662,Diarrhea caused by Giardia lamblia,[Nitazoxanide]
2663,Locally Advanced Basal Cell Carcinoma,[Vismodegib]
2664,Operation site inflammation,[Diclofenac]
2665,Symptomatic Congestive Heart Failure,[Enalapril]
2666,Bone Marrow Transplant Rejection,[Ciclosporin]
2667,Burning Mouth Syndrome,[Clonazepam]
2668,Stage T2c carcinoma of the prostate,[Goserelin]
2669,Hypoactive Sexual Desire Disorder (HSDD),[Flibanserin]
2670,T-Cell Prolymphocytic Leukemia,[Alemtuzumab]
2671,Moderate Vulvovaginal atrophy,[Norgestimate]
2672,Refractory Lennox-Gastaut syndrome,[Felbamate]
2673,Acute Coronary Events,[Pravastatin]
2674,Radiodermatitis,[Bendazac]
2675,Neoplastic lesion,[Iopromide]
2676,Pulmonary Multi-Drug Resistant Tuberculosis (MDR-TB),[Delamanid]
2677,Neural Tube Defects (NTDs),[Folic acid]
2678,Acute Exacerbations of Chronic Bronchitis caused by Haemophilus Influenzae,[Cefixime]
2679,Post Polycythemia Vera Myelofibrosis,[Ruxolitinib]
2680,Metastatic Testicular cancer,[Cisplatin]
2681,Pancreatic exocrine dysfunction,[Secretin human]
2682,UTI caused by methicillin-susceptible Staphylococcus epidermidis,[Ciprofloxacin]
2683,Severe spinal cord origin Spasticity,[Baclofen]
2684,Euvolemic Hyponatremia,[Conivaptan]
2685,Eye infection bacterial,[Tobramycin]
2686,Pancreatitis,[Hyoscyamine]
2687,Chronic aluminum overload,[Deferoxamine]
2688,Right-sided Infective pericarditis,[Daptomycin]
2689,Atypical Depressive disorder,[Phenelzine]
2690,Corns,[Salicylic acid]
2691,Clostridia infections,[Tetracycline]
2692,Stage B2 Prostatic Carcinoma,[Flutamide]
2693,"Major depressive disorder, recurrent episode",[Olanzapine]
2694,Urethrocystitis,[Flavoxate]
2695,Neisseria gonorrhoeae arthritis,[Benzylpenicillin]
2696,Chronic Mucocutaneous Candidiasis (CMC),[Ketoconazole]
2697,Postsurgical ocular hypertension,[Apraclonidine]
2698,Primary Brain Tumors,[Lomustine]
2699,Inoperable Ovarian cancer,[Hydroxyurea]
2700,Paget's Disease of Bone,[Etidronic acid]
2701,Erythrodermics,[Bendazac]
2702,Demodicidosis,[Ivermectin]
2703,Chemotherapy-induced Peripheral Neuropathy (CIPN),[Duloxetine]
2704,Skeletal muscle spasm,[Diazepam]
2705,ST Segment Elevation Myocardial Infarction (STEMI),[Enoxaparin]
2706,SLL,[Venetoclax]
2707,Severe Endocarditis enterococcal,[Gentamicin]
2708,Pulmonary coccidioides,[Itraconazole]
2709,Tinea Unguium,[Griseofulvin]
2710,Cyclic Vomiting Syndrome,[Dexmedetomidine]
2711,Tinea Pedis caused by Trichophyton mentagrophytes,[Ketoconazole]
2712,Progressive Cutaneous T-cell lymphoma,[Vorinostat]
2713,Chronic Prostatitis caused by Escherichia coli,[Ciprofloxacin]
2714,Hemophilia A,"[Antihemophilic factor, human recombinant]"
2715,Castleman's Disease,[Siltuximab]
2716,Advanced deleterious germline or somatic BRCA-mutated advanced epthelial ovarian cancer,[Olaparib]
2717,Cardiac electrical storm,[Isoprenaline]
2718,Respiratory Depression,[Naloxone]
2719,Human Immunodeficiency Virus Type 1 (HIV-1),[Enfuvirtide]
2720,Erythrasma,[Erythromycin]
2721,Petit Mal Epilepsy,[Ethosuximide]
2722,Paroxysmal Atrial Fibrillation (PAF),[Propafenone]
2723,Severe restless leg syndrome,[Rotigotine]
2724,Mucopolysaccharidosis II,[Idursulfase]
2725,Mania,[Chlorpromazine]
2726,Acute Myeloblastic Leukemia,[Doxorubicin]
2727,Refractory B-cell precursor Acute Lymphoblastic Anemia,[Inotuzumab ozogamicin]
2728,Malignant breast disease,[Gadobutrol]
2729,Tactile roughness of facial skin,[Tretinoin]
2730,Hypokalemic Periodic Paralysis,[Diclofenamide]
2731,Transfusional Iron Overload,[Deferiprone]
2732,Severe Migraine,[Flunarizine]
2733,Coronary Artery Atherosclerosis,[Pravastatin]
2734,Ringworm,[Clotrimazole]
2735,Anovulatory cycle,[Letrozole]
2736,Sepsis,[Cefotetan]
2737,Bacterial dermatoses,[Clioquinol]
2738,Paroxysmal Nocturnal Haemoglobinuria (PNH),[Eculizumab]
2739,"Acute, uncomplicated Gonorrhea",[Ofloxacin]
2740,Prophylaxis of cardiomyopathy,[Dexrazoxane]
2741,Severe Paroxysmal supraventricular tachycardia,[Flecainide]
2742,Bacteremia caused by Enterobacter aerogenes,[Polymyxin B]
2743,Dental Decay,[Sodium fluoride]
2744,Upper respiratory discomfort,[Triprolidine]
2745,Urinary Frequency,[Propiverine]
2746,Migraine Without Aura,[Frovatriptan]
2747,Influenza B,[Oseltamivir]
2748,Acute maxillary sinusitis caused by Susceptible strains of Streptococcus pneumoniae,[Cefdinir]
2749,Uncomplicated Urinary tract infection bacterial,[Ceftriaxone]
2750,NYHA class III Pulmonary arterial hypertension,[Iloprost]
2751,Bleeding of the oral,[Aminocaproic Acid]
2752,"Subependymal giant cell astrocytoma, tuberous sclerosis complex",[Everolimus]
2753,Paralysis agitans,[Levodopa]
2754,Moderate Muscle Spasm,[Chlorzoxazone]
2755,Unresectable Hepatocellular Carcinoma,[Sorafenib]
2756,Malignant Ascites of the intraperitoneal,[Catumaxomab]
2757,Relapsed B cell precursor Acute lymphoblastic leukemia,[Blinatumomab]
2758,Tonsillitis bacterial,[Azithromycin]
2759,Moderate Babesiosis,[Atovaquone]
2760,Posttraumatic Stress Disorders,[Risperidone]
2761,Inflammatory Bowel Diseases (IBD),[Technetium Tc-99m exametazime]
2762,Refractory Advanced Ovarian Cancer,[Olaparib]
2763,Non ST Segment Elevation Myocardial Infarction (NSTEMI),[Fondaparinux]
2764,Lower respiratory tract infection caused by Escherichia coli,[Ciprofloxacin]
2765,Pustular lesions,[Erythromycin]
2766,"High-grade, nonmetastatic Osteosarcoma",[Mifamurtide]
2767,Sucrase-isomaltase deficiency,[Sacrosidase]
2768,Complicated UTI caused by Escherichia coli,[Ciprofloxacin]
2769,Pruritis of the scroti,[Clioquinol]
2770,Locally advanced gastrointestinal origin Progressive Neuroendocrine Tumors,[Everolimus]
2771,Metastatic gestational trophoblastic tumor,[Cyclophosphamide]
2772,Pompe's Disease,[Alglucosidase alfa]
2773,Disseminated Neurodermatitis,[Clioquinol]
2774,Severe Atrioventricular nodal reentrant tachycardia,[Flecainide]
2775,Trichomoniasis,[Tinidazole]
2776,Myxedema pre-coma,[Liothyronine]
2777,Vertigo,[Meclizine]
2778,Acute bleeding episodes,[Fibrinogen Human]
2779,Recurring fever caused by Borrelia recurrentis,[Doxycycline]
2780,Acute Musculoskeletal injury,[Diclofenac]
2781,Postoperative Thromboembolism,[Dipyridamole]
2782,Refractory anaemia with an excess of blasts,[Azacitidine]
2783,Relapsed Small Lymphocytic Lymphoma,[Idelalisib]
2784,Fibromyalgia Syndrome,[Gabapentin]
2785,Trypanosomiasis,[Pentamidine]
2786,"Severe, symptomatic Hypertension",[Minoxidil]
2787,Parkinsons's Disease,[Ropinirole]
2788,Locally recurrent refractory to radioactive iodine treatment Thyroid carcinoma,[Sorafenib]
2789,Restlessness,[Chlorpromazine]
2790,Disseminated Other specified protozoal diseases,[Itraconazole]
2791,Noncompensatory Sinus tachycardia,[Esmolol]
2792,Post-operative inflammation,[Moxifloxacin]
2793,Acute otitis media caused by M. catarrhalis,[Cefdinir]
2794,Elevated Triglycerides (TG),[Pravastatin]
2795,Bleeding caused by thrombocytopenia,[Aminocaproic Acid]
2796,Extrapyramidal symptoms caused by butyrophenones,[Trihexyphenidyl]
2797,Amblyopia,[Atropine]
2798,Gonococcal arthritis,[Cefotaxime]
2799,Vaccinia infection in the cornea and conjunctiva,[Trifluridine]
2800,UTI caused by Klebsiella pneumoniae,[Ciprofloxacin]
2801,Diabetic Foot Ulcers (DFU),[Tazobactam]
2802,Revascularization procedures,[Atorvastatin]
2803,Mansonella ozzardi infection,[Ivermectin]
2804,Mixed-cell type lymphoma,[Cyclophosphamide]
2805,Active autoantibody-positive Systemic lupus erythematosus,[Belimumab]
2806,Chlamydial ophthalmia neonatorum,[Erythromycin]
2807,Advanced deleterious germline or somatic BRCA-mutated peritoneal cancer,[Olaparib]
2808,Cysticercosis,[Praziquantel]
2809,Invasive bronchopulmonary aspergillosis,[Posaconazole]
2810,Symptomatic non-erosive gastroesphageal reflux disease,[Dexlansoprazole]
2811,"B-Lymphocytic, prolymphocytic leukemia (Kiel Classification) refractory",[Pentostatin]
2812,Status epilepticus petit mal,[Trimethadione]
2813,Acute chemotherapy induced nausea and vomiting,[Palonosetron]
2814,Familial Mediterranean Fever (FMF ),[Colchicine]
2815,Muscle fasciculation caused by succinylcholine,[Rocuronium]
2816,Post-autologous hematopoietic stem cell transplantation Hodgkin lymphoma,[Brentuximab vedotin]
2817,Severe Allergic rhinitis,[Betamethasone]
2818,Malignant Pleural Effusions,[Bleomycin]
2819,Back Pain Lower Back Chronic,[Duloxetine]
2820,Kidney stone formation,[Tiopronin]
2821,Moderate Crohn’s Disease,[Budesonide]
2822,Bone destruction,[Denosumab]
2823,Mansonella streptocerca infection,[Ivermectin]
2824,Impetigo caused by streptococcus pyogenes,[Mupirocin]
2825,Severe Fredrickson Type V Hypertriglyceridemia,[Fenofibrate]
2826,Muscarinic effects caused by neostigmine,[Glycopyrronium]
2827,Herpes Zoster,[Acyclovir]
2828,Disseminated Intravascular Coagulation (DIC),[Heparin]
2829,Tinea versicolor caused by Malassezia infection,[Ketoconazole]
2830,Reversible Spasticity,[Baclofen]
2831,Necrotizing Soft Tissue Infections,[Oxacillin]
2832,Hypermotility disorders of the lower urinary tract,[Hyoscyamine]
2833,Capecitabine overdose,[Uridine triacetate]
2834,Letterer-Siwe disease,[Vinblastine]
2835,Advanced Small cell lung cancer,[Carboplatin]
2836,Inflammatory ocular disease,[Bacitracin]
2837,Rhinorrhea,[Atropine]
2838,HIV 1 Infection,[Tenofovir disoproxil]
2839,Spinal Cord Compression,[Denosumab]
2840,Muscle Spasticity,[Tizanidine]
2841,"Not complicated by fever, not complicated by bloody stool Traveler's Diarrhea caused by noninvasive strains of Escherichia coli",[Rifamycin]
2842,Rabies,"[Rabies virus inactivated antigen, A]"
2843,"Hormone refractory, advanced Prostate cancer",[Mitoxantrone]
2844,SIADH,[Demeclocycline]
2845,Metastatic Gastroesophageal Junction Adenocarcinoma,[Trastuzumab]
2846,With compensated cirrhosis Chronic hepatitis C genotype 1a,[Paritaprevir]
2847,Postural Orthostatic Tachycardia Syndrome (POTS),[Fludrocortisone]
2848,With compensated cirrhosis Chronic hepatitis C genotype 1b,[Paritaprevir]
2849,Preeclampsia,[Acetylsalicylic acidCommonly known or available as Aspirin]
2850,Akathisia caused by antipsychotic use,[Propranolol]
2851,Erysipelas caused by susceptible streptococci,[Procaine benzylpenicillin]
2852,Plaque psoriasis of the body,[Betamethasone]
2853,Disseminated Neuroblastoma,[Cyclophosphamide]
2854,Renal Colic,[Hyoscyamine]
2855,Lung Cancers,[Cyclophosphamide]
2856,Acquired hemolytic jaundice,[Tetracosactide]
2857,Chlamydia Trachomatis,[Erythromycin]
2858,Microinvasive endobrachial Non-small cell lung cancer,[Porfimer sodium]
2859,Prostatitis caused by Proteus mirabilis,[Levofloxacin]
2860,"Glomerulosclerosis, Focal Segmental",[Ciclosporin]
2861,Bleeding in invasive procedures,"[Antihemophilic factor, human recombinant]"
2862,"Refractory, metastatic Renal cell carcinoma",[Nivolumab]
